input,output,se_order
"bagus , murah , nyaman untuk transit .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",NULL,as
proses cek in tidak ribet .| aspek : <extra_id_0>,<extra_id_0> proses cek in,a
air kotor yang dari water heaternya . sudah begitu mati pas ahirahir mau dipakai . tetapi overall good sihh .| aspek : <extra_id_0>,<extra_id_0> air ; <extra_id_1> overall,a
"semuanya baik , kecuali pemasangan tv , posisi tidak tepat . masak tv didepan lemari .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> semuanya <extra_id_1> baik,ao
"minusnya wifi kurang kencang .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> wifi <extra_id_1> kurang kencang,ao
"kamar hotel nyaman meskipun kecil , ac dingin banget , staf hotel ramah bahkan masih bisa senyum saya bangunin jam 4 subuh buat check out .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kamar hotel <extra_id_1> positive ; <extra_id_2> kamar hotel <extra_id_3> negative ; <extra_id_4> ac <extra_id_5> positive ; <extra_id_6> staf hotel <extra_id_7> positive,as
parkir sempit .| opini : <extra_id_0>,<extra_id_0> sempit,o
"datang sampai bandung sekitar jam 12 malam . ternyata pas ketempat ini , gerbang di kunci , nmer tlfon tidak .| aspek : <extra_id_0>",NULL,a
"ac agak bau . remote tv tidak berfungsi .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> ac <extra_id_1> agak bau <extra_id_2> negative ; <extra_id_3> remote tv <extra_id_4> tidak berfungsi <extra_id_5> negative,aos
"lumayan untuk bacpakeran , harganya terjangkau banget . tempatnya bersih , cuma seprainya agak berdebu .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> harganya <extra_id_1> terjangkau banget ; <extra_id_2> tempatnya <extra_id_3> bersih ; <extra_id_4> seprainya <extra_id_5> agak berdebu ; <extra_id_6> NULL <extra_id_7> lumayan,ao
"nyaman , bersih , dan murah .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> NULL <extra_id_1> nyaman ; <extra_id_2> NULL <extra_id_3> bersih ; <extra_id_4> NULL <extra_id_5> murah,ao
"baru pertama x coba airy rooms . suka banget deh , perlatan mandi lengkap plus bonus snack juga dari airy .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> perlatan mandi <extra_id_1> lengkap ; <extra_id_2> NULL <extra_id_3> suka banget,ao
sudah sering menginap disini .| aspek : <extra_id_0>,NULL,a
"keren sudah , tidak salah untuk memberikan kepercayaan dengan airy hotel .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> NULL <extra_id_1> keren <extra_id_2> positive,aos
"untuk harganya yang murah cukup memuaskan .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> harganya <extra_id_1> murah <extra_id_2> positive ; <extra_id_3> harganya <extra_id_4> cukup memuaskan <extra_id_5> positive,aos
staf ramah hotel dengan pemandangan luar biasa ( mungkin datang saat warna padi lagi bagus bagusnya ) .| aspek : <extra_id_0>,<extra_id_0> staf ; <extra_id_1> pemandangan,a
"nyaman buat bermalam , tetapi di depan pintu kamar mandi kurang tersedia keset .| aspek : <extra_id_0>",<extra_id_0> keset ; <extra_id_1> NULL,a
"pelayanan manajemen hotelnya sangat sangat buruk dan jelek .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> pelayanan manajemen hotelnya <extra_id_1> sangat sangat buruk <extra_id_2> negative ; <extra_id_3> pelayanan manajemen hotelnya <extra_id_4> jelek <extra_id_5> negative,aos
alamat tidak ktemu . di telepon tidak direspon . merugikan !| aspek : <extra_id_0>,NULL,a
"nyaman , bersih , oke . tetapi sayang tidak dapat snack box nya . pesan 2 kamar , duaduanya tidak di kasih snack box nya . padahal sudah konfirm ke pihak cs hotel . tetapi cuma di suruh tunggu ajja , sampai pulang tidak datangdatang .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> snack box nya <extra_id_1> tidak dapat <extra_id_2> negative ; <extra_id_3> NULL <extra_id_4> nyaman <extra_id_5> positive ; <extra_id_6> NULL <extra_id_7> bersih <extra_id_8> positive ; <extra_id_9> NULL <extra_id_10> oke <extra_id_11> positive,aos
"1 . sampah penghuni sebelumnya tidak dibersihkan 2 . kamar mandi becek 3 . staf penginapan tidak responsif saat saya butuh bantuan turun dari kendaraan , ketika hujan deras 4 . deposit yang nominalnya lebih besar dari biaya inap 5 . diatas jam 21 sulit kembali ke kamar , karena pintu utama dikunci 6 . sistem check - in yang lama 7 . parkir yang terbatas .| aspek : <extra_id_0>",<extra_id_0> kamar mandi ; <extra_id_1> staf penginapan ; <extra_id_2> sistem check - in ; <extra_id_3> parkir,a
"dengan tarif yang relatif murah , tetapi semua oke .| aspek : <extra_id_0>",<extra_id_0> tarif ; <extra_id_1> semua,a
"airy room yang di country heritage , kurang memuaskan ruangan kotor berdebu , apalagi belakang tv seperti tidak pernah dilap , mungkin jarang dipakai kali , risih berada didalam , akhirnya sama pihak hotel diganti dengan yang bukan airy room dan dikasih free , gapp nya saya tulis yang sebenarnya , supaya airy room kedepan lebih baik lagi .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> ruangan <extra_id_1> negative,as
kamar bersih . lokasi hotel strategis dekat dengan pusat kota .| aspek : <extra_id_0>,<extra_id_0> kamar ; <extra_id_1> lokasi hotel,a
"kamar luas tetapi kamar mandinya terkesan menyeramkan dikarenakan kurangnya lampu pencahayaan .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> kamar <extra_id_1> luas <extra_id_2> positive ; <extra_id_3> kamar mandinya <extra_id_4> menyeramkan <extra_id_5> negative,aos
keren banget . mau singgah lagi .| aspek : <extra_id_0>,<extra_id_0> NULL,a
"kali ini dapat kamar dekat kolam renang , anakanak senang , menu sarapan sudah sesuai keinginan , sipp .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> menu sarapan <extra_id_1> sudah sesuai keinginan,ao
"kamarnya bersih , dan nyaman .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kamarnya <extra_id_1> positive,as
"nyaman , kamar luas , bersih .| opini : <extra_id_0>",<extra_id_0> luas ; <extra_id_1> bersih ; <extra_id_2> nyaman,o
"dapat sarapan simple . highly recommended .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> sarapan <extra_id_1> positive ; <extra_id_2> sarapan <extra_id_3> neutral ; <extra_id_4> NULL <extra_id_5> positive,as
"bersih , nyaman , harga murah tetapi kualitas oke .| opini : <extra_id_0>",<extra_id_0> murah ; <extra_id_1> oke ; <extra_id_2> bersih ; <extra_id_3> nyaman,o
"keren banget hotelnya , harga terjangkau , desainnya vintage , petugas hotel ramah , kebersihan oke , .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> hotelnya <extra_id_1> positive ; <extra_id_2> harga <extra_id_3> positive ; <extra_id_4> desainnya <extra_id_5> positive ; <extra_id_6> petugas hotel <extra_id_7> positive ; <extra_id_8> kebersihan <extra_id_9> positive,as
"kamar nyaman dan luar untuk sarapan tidak terlalu banyak variasi namun good .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kamar <extra_id_1> positive ; <extra_id_2> sarapan <extra_id_3> negative ; <extra_id_4> sarapan <extra_id_5> positive,as
"nyaman , bersih , terjangkau dan dekat bandara .| opini : <extra_id_0>",<extra_id_0> nyaman ; <extra_id_1> bersih ; <extra_id_2> terjangkau,o
kebersihan kamar tolong diperbaiki lagi iya .| aspek : <extra_id_0>,<extra_id_0> kebersihan kamar,a
"kamar luas , tempat nya agak masuk ke dalam gang , sinyal wifi tidak stabil , staf ramah , parkiran luas .| opini : <extra_id_0>",<extra_id_0> luas ; <extra_id_1> tidak stabil ; <extra_id_2> ramah ; <extra_id_3> luas,o
"kamar nya sempit .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kamar nya <extra_id_1> negative,as
mantap pegawainya baik dompet saya ketinggaln di kamar sudah kembali lagi mantap .| aspek : <extra_id_0>,<extra_id_0> pegawainya ; <extra_id_1> NULL,a
suasana tenang nyaman buat istirahat .| aspek : <extra_id_0>,<extra_id_0> suasana,a
ac nya per 30 menit mati . alhasil saya tidak nyenyak tidur karena jagain ac supaya tetap on . supaya anak istri bisa tidur . kamar mandi nya agak seram . begitu saja ! think again lah !| opini : <extra_id_0>,<extra_id_0> per 30 menit mati ; <extra_id_1> agak seram,o
"kamar kecil , air lambat , satu ac di bagi dua kamar . cari makan susah , ada jualan , tetapi mau naik haji bulan depan ( mahal gila ) .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kamar <extra_id_1> kecil ; <extra_id_2> air <extra_id_3> lambat,ao
"dinding penuh dengan nyamuk mati . dalam semalam bisa membuh 20 nyamuk . kamar mandi juga kotor .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> kamar mandi <extra_id_1> kotor <extra_id_2> negative,aos
"kamar luas , ada restoran , kolam renang , dan layanan kamar , sayangnya : kamar kotor dan lembab . lingkungan sekitar kotor , kamar mandi kotor . air kecil dan berbau . lokasi kamar ke parkiran cukup jauh seharusnya itu mobil golf stand oleh terus untuk antar jemput tamu . yang sulit ketika check out harus angkat barang sendiri . jalan juga tidak friendly buat gerek koper .| aspek : <extra_id_0>",<extra_id_0> kamar ; <extra_id_1> restoran ; <extra_id_2> kolam renang ; <extra_id_3> layanan kamar ; <extra_id_4> kamar ; <extra_id_5> lingkungan ; <extra_id_6> kamar mandi ; <extra_id_7> air,a
"tempat strategis dekat dengan pusat keramaian , hanya parkiran tebatas , untuk fasilitas kamar mandi a .| opini : <extra_id_0>",<extra_id_0> strategis ; <extra_id_1> tebatas,o
tidak sesuai dengan di foto .| opini : <extra_id_0>,<extra_id_0> tidak sesuai,o
"suka banget sama kamarnya bersih banget air snack lengkap tetapi sayang tv tidak satelit tetapi gpp all good .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> kamarnya <extra_id_1> suka banget <extra_id_2> positive ; <extra_id_3> kamarnya <extra_id_4> bersih banget <extra_id_5> positive ; <extra_id_6> air snack <extra_id_7> lengkap <extra_id_8> positive ; <extra_id_9> tv <extra_id_10> tidak satelit <extra_id_11> negative,aos
"sangat puas dengan pelayanan nya dan respons cepat disaat tamu hotel merasa ada yang kurang pas di tertawa .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> pelayanan nya <extra_id_1> sangat puas ; <extra_id_2> respons <extra_id_3> cepat,ao
"mantap hotelnya baik dengan harga airy room .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> hotelnya <extra_id_1> positive,as
"kamarnya luas , suasana tenang , kasur nyaman , tetapi sayangnya pintu toilet rusak .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kamarnya <extra_id_1> positive ; <extra_id_2> suasana <extra_id_3> positive ; <extra_id_4> kasur <extra_id_5> positive ; <extra_id_6> pintu toilet <extra_id_7> negative,as
"kamar bersih dan nyaman , harga terjangkau cocok untuk backpacker .| aspek : <extra_id_0>",<extra_id_0> kamar ; <extra_id_1> harga,a
"kamar bersih dengan ac yang dingin .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kamar <extra_id_1> bersih ; <extra_id_2> ac <extra_id_3> dingin,ao
good enak unch gratisannya lagi dong .| aspek : <extra_id_0>,<extra_id_0> NULL,a
"acnya tidak dingin dan tidak ada tissunya sama laundrynya kebetulan troble jadi handuknya cuma dapat 1 .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> acnya <extra_id_1> negative ; <extra_id_2> tissunya <extra_id_3> negative ; <extra_id_4> handuknya <extra_id_5> negative,as
"pelayanan nya benarbenar ramah , pokok nya tidak nyesal .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> pelayanan nya <extra_id_1> positive ; <extra_id_2> NULL <extra_id_3> positive,as
"baik sarapan ada kue kadang nasi kuning bagus pemilik sering kunjung untuk kontrol .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> NULL <extra_id_1> baik <extra_id_2> positive,aos
"sempat tidak terdaftar pas chekin lama jadinya , tetapi di upgrde ke room yang lebih dari kita pesan pokoknya big terimakasih airy .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",NULL,aos
"baik . ac dingin . cuma lampu gelap .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> ac <extra_id_1> dingin ; <extra_id_2> lampu <extra_id_3> gelap ; <extra_id_4> NULL <extra_id_5> baik,ao
"sangat nyaman , aman dan tenang suasana nya .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> suasana nya <extra_id_1> sangat nyaman <extra_id_2> positive ; <extra_id_3> suasana nya <extra_id_4> aman <extra_id_5> positive ; <extra_id_6> suasana nya <extra_id_7> tenang <extra_id_8> positive,aos
"harga yang amazing untuk inap yang nyaman , strategis dan ramah . kalau ada acara dipekanbaru lagi insyaallah inap disini lagi cuma pintu kamar mandi tidak bisa ditutup rapat dan kalau terlambat sarapan tidak kebagian makanan he pengalaman yang buat laper .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> harga <extra_id_1> positive ; <extra_id_2> inap <extra_id_3> positive ; <extra_id_4> pintu kamar mandi <extra_id_5> negative ; <extra_id_6> sarapan <extra_id_7> negative,as
ada harga ada kualitas bagi saya kualitas sudah diatas harga . semoga bisa menginap disini lagi .| opini : <extra_id_0>,NULL,o
"dekat tempat jajanan . pokoknya nyaman deh .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> NULL <extra_id_1> nyaman <extra_id_2> positive,aos
"ac nya dingin . untuk harga segitu okelah .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> ac nya <extra_id_1> dingin,ao
"kamar bersih , snack nya enakk , kamar mandi bersih , kasur nyaman meski tidak empukempuk amat . : di terimakasih airy , .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kamar <extra_id_1> positive ; <extra_id_2> snack nya <extra_id_3> positive ; <extra_id_4> kamar mandi <extra_id_5> positive ; <extra_id_6> kasur <extra_id_7> positive ; <extra_id_8> kasur <extra_id_9> negative,as
"lumayan lah . tetapi kamar agak sempit . tempat bersih . pelayanan ramah .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kamar <extra_id_1> negative ; <extra_id_2> tempat <extra_id_3> positive ; <extra_id_4> pelayanan <extra_id_5> positive ; <extra_id_6> NULL <extra_id_7> positive,as
"air hangat tidak hidup didalam kamar mandi .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> air hangat <extra_id_1> tidak hidup <extra_id_2> negative,aos
"tidak sesuai dengan di foto .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> NULL <extra_id_1> tidak sesuai <extra_id_2> positive,aos
"buruk pelayan dari resepsionis , sangat kecewa serta cukup 1x menginap tidak akan untuk selanjutnya . pesan untuk resepsionis : mmg saya menginap tidak membayar ! sopan santun sedikit terhadap tamu menginap .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> pelayan <extra_id_1> buruk <extra_id_2> negative ; <extra_id_3> NULL <extra_id_4> sangat kecewa <extra_id_5> negative,aos
"suka dengan suasana penginapannya .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> suasana penginapannya <extra_id_1> positive,as
"nyaman . ruangannya bersih dan luas , hanya saja wifi tidak jalan alias lambat .| opini : <extra_id_0>",<extra_id_0> bersih ; <extra_id_1> luas ; <extra_id_2> tidak jalan ; <extra_id_3> lambat ; <extra_id_4> nyaman,o
"kecil tetapi nyaman . pelayanan cukup oke .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> pelayanan <extra_id_1> positive ; <extra_id_2> NULL <extra_id_3> negative ; <extra_id_4> NULL <extra_id_5> positive,as
"saya sangat suka dengan dengan pelayanan , kebersihan kamar , kebersihan dapur dll. dengan harga yang di tawarkan saya rasa sangat worth it lah menginap disini .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> pelayanan <extra_id_1> sangat suka ; <extra_id_2> kebersihan kamar <extra_id_3> sangat suka ; <extra_id_4> kebersihan dapur <extra_id_5> sangat suka ; <extra_id_6> NULL <extra_id_7> sangat worth,ao
"hotel yang bagus , tetap pertahankan .| opini : <extra_id_0>",<extra_id_0> bagus,o
"tempat bersih . sangat bagus . karena semua serba baru . sayangnya parkir mobil harus di luar , tidak boleh di dalam halaman .| opini : <extra_id_0>",<extra_id_0> bersih ; <extra_id_1> sangat bagus,o
"kamar mandi kurang baik dan bau rokok .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kamar mandi <extra_id_1> kurang baik ; <extra_id_2> kamar mandi <extra_id_3> bau rokok,ao
pelayanan manajemen hotelnya sangat sangat buruk dan jelek .| opini : <extra_id_0>,<extra_id_0> sangat sangat buruk ; <extra_id_1> jelek,o
"saya tinggal selama 4 hari 3 malam di sini . so far , tempatnya bersih . penjaganya baik . terus kalau di lantai 2 , ada teras buat merasakan sejuknya angin sepoi sepoi di sore hari . lovely place buat budget traveller .| aspek : <extra_id_0>",<extra_id_0> tempatnya ; <extra_id_1> penjaganya,a
"bantal sama tempat tidurnya basah , lantainya pun masih basah , ac nya tidak dingin .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> bantal <extra_id_1> basah ; <extra_id_2> tempat tidurnya <extra_id_3> basah ; <extra_id_4> lantainya <extra_id_5> basah ; <extra_id_6> ac nya <extra_id_7> tidak dingin,ao
"karnaa salah masukkan tanggal jadi nya pembayaran ini sangat siaa sia .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> NULL <extra_id_1> salah masukkan tanggal <extra_id_2> negative,aos
"tempat cukup nyman , tetapi sayang tempat tidurnya bunyi "" .| aspek : <extra_id_0> ,opini : <extra_id_1>","<extra_id_0> tempat <extra_id_1> cukup nyman ; <extra_id_2> tempat tidurnya <extra_id_3> bunyi """,ao
fasilitas sesuai . bersih sangat nyaman . cuma makanan sarapannya kurang enak .| aspek : <extra_id_0>,<extra_id_0> fasilitas ; <extra_id_1> makanan sarapannya,a
"baik , dekat dengan sekolah jadi agak berisik .| aspek : <extra_id_0>",<extra_id_0> NULL,a
"tempat bersih , nyaman , sesuai yang di foto , ada snacknya , pelayanan ramah .| aspek : <extra_id_0>",<extra_id_0> tempat ; <extra_id_1> snacknya ; <extra_id_2> pelayanan,a
tetapi rekomendasi dari airy jauh dari tempat yang dibutuhkan .| opini : <extra_id_0>,NULL,o
air asin . kamar kotor . wc kotor .| aspek : <extra_id_0>,<extra_id_0> air ; <extra_id_1> kamar ; <extra_id_2> wc,a
lokasinya yang sulit ditemukan .| aspek : <extra_id_0>,<extra_id_0> lokasinya,a
"hotelnya nyaman , dengan budget yang minim kita bisa dapat hotel yang melebihi ekspektasi , cuma sayangnya air panasnya mati .| aspek : <extra_id_0>",<extra_id_0> hotelnya ; <extra_id_1> air panasnya,a
"sangat ramah pelayanannya . dan bersih tempatnya . pokonya nyaman banget deh .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> pelayanannya <extra_id_1> positive ; <extra_id_2> tempatnya <extra_id_3> positive ; <extra_id_4> NULL <extra_id_5> positive,as
ac oke . air panas oke .| aspek : <extra_id_0>,<extra_id_0> ac ; <extra_id_1> air panas,a
"handuk tergantung di kamar mandi , jadi saya tidak tahu itu handuk bersih atau tidak , kemudian sampai di depan kamar berserakan selama saya inap tidak ada yang membersihkan .| aspek : <extra_id_0>",NULL,a
pelayanan ramah dan cepat . kondisi kamar nyaman . responsif dan mudah .| aspek : <extra_id_0>,<extra_id_0> pelayanan ; <extra_id_1> kamar ; <extra_id_2> NULL,a
parah kamarnya . ac bocor . water heater tidak berfungsi . air kotor . kamar mandi kotor kamar bau . seprai ada bercakbercak sperma .| aspek : <extra_id_0>,<extra_id_0> kamarnya ; <extra_id_1> ac ; <extra_id_2> water heater ; <extra_id_3> air ; <extra_id_4> kamar mandi ; <extra_id_5> kamar ; <extra_id_6> seprai,a
"enak dan nyaman .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> NULL <extra_id_1> enak ; <extra_id_2> NULL <extra_id_3> nyaman,ao
"mudah akses kemanakemana . nyaman .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> akses <extra_id_1> positive ; <extra_id_2> NULL <extra_id_3> positive,as
"hotelnya bagus , dekat ciwalk jadi banyak kuliner dan tempat belanja . ada kolam renangnya juga . lumayan buat olah raga sedikt .| aspek : <extra_id_0>",<extra_id_0> hotelnya,a
"tv dan ac berfungsi dengan baik . sarapannya lumayan lah nasi goreng , sayangnya tidak ada pilihan lain untuk saya yv lagi diet .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> tv <extra_id_1> positive ; <extra_id_2> ac <extra_id_3> positive ; <extra_id_4> sarapannya <extra_id_5> neutral,as
"langit langit kamar mandi bocor perlu perbaikan . wifi tidak terjangkau . kayu pada pintu dan jendela sudah ok dengan air jadi aroma kamar jadi lembab . binatang seperti semut pemakan kayu sering muncul dan merek besar besar . saya mungkin akan cari tempat lain bila ke bali lagi .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> langit langit kamar mandi <extra_id_1> bocor <extra_id_2> negative ; <extra_id_3> wifi <extra_id_4> tidak terjangkau <extra_id_5> negative ; <extra_id_6> kamar <extra_id_7> lembab <extra_id_8> negative,aos
"ada nyamuk , acnya kurang jos . selain itu oke banget .| aspek : <extra_id_0>",<extra_id_0> acnya ; <extra_id_1> NULL,a
"tempatnya bersih , tenang cocok untuk istirahat .| opini : <extra_id_0>",<extra_id_0> bersih ; <extra_id_1> tenang,o
sabun dan sikat gigi nya bekas orang pakai . tidak dikasih yang baru . handuk nya pun bau .| aspek : <extra_id_0>,<extra_id_0> sabun ; <extra_id_1> sikat gigi nya ; <extra_id_2> handuk nya,a
"kami datang pagi pagi , tetapi tetap dilayani dengan baik . kondisi kamar dan fasilitas lainnya cukup bersih dan berfungsi dengan baik .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> dilayani <extra_id_1> positive ; <extra_id_2> kamar <extra_id_3> positive ; <extra_id_4> fasilitas lainnya <extra_id_5> positive,as
"kamarnya bersih , acnya dingin , servis ramah , proses check in mudah , harga bersahabat .| aspek : <extra_id_0>",<extra_id_0> kamarnya ; <extra_id_1> acnya ; <extra_id_2> servis ; <extra_id_3> proses check in ; <extra_id_4> harga,a
"saluran air di westafel buntu , handuk kasar jaringan wifi tidak smpai karena dapat kamar paling ujung untuk air di showernya agak bermasalah dengan air pnas dan dinginnya sehingga yang berfungsi cuma air panasnya . mau keluhan nanggung karena cuma sebentar disini dan harus jalan kaki kedepan jauh banget karena dapat kamar paling ujung :/ .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> saluran air <extra_id_1> buntu ; <extra_id_2> handuk <extra_id_3> kasar ; <extra_id_4> wifi <extra_id_5> tidak smpai ; <extra_id_6> showernya <extra_id_7> agak bermasalah,ao
"kamar bersih , nyaman dan besar . ' jos wes ' .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kamar <extra_id_1> bersih ; <extra_id_2> kamar <extra_id_3> nyaman ; <extra_id_4> kamar <extra_id_5> besar,ao
"bagus , toilet nya aga kotor .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> toilet nya <extra_id_1> negative ; <extra_id_2> NULL <extra_id_3> positive,as
"yang perlu ditingkatkan , ukuran ranjang yang twin kurang besar , buat yang body agak big size , terus lift nya kecil dan cuma satu .| opini : <extra_id_0>",<extra_id_0> kurang besar ; <extra_id_1> kecil,o
"nyaman banget . walau roomnya ada di atas .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as
"tempat transit , makanannya enak .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> makanannya <extra_id_1> positive,as
lemari yang disediakan lumayan besar .| opini : <extra_id_0>,<extra_id_0> lumayan besar,o
"nyaman , kamar luas , tetapi tidak ada free snack .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kamar <extra_id_1> luas ; <extra_id_2> free snack <extra_id_3> tidak ada ; <extra_id_4> NULL <extra_id_5> nyaman,ao
"bagus pelayanan nya ramah , beraih juga , .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> pelayanan nya <extra_id_1> positive ; <extra_id_2> NULL <extra_id_3> positive,as
"saya pesan 2 kamar , namun 1kmar tidak diberikan fasilitas airy room . shower mati , ac kurang dingin . menu sarapan sedikit , .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> fasilitas airy <extra_id_1> tidak diberikan <extra_id_2> negative ; <extra_id_3> shower <extra_id_4> mati <extra_id_5> negative ; <extra_id_6> ac <extra_id_7> kurang dingin <extra_id_8> negative ; <extra_id_9> menu sarapan <extra_id_10> sedikit <extra_id_11> negative,aos
kamar bersih dan ramah . mantap .| opini : <extra_id_0>,<extra_id_0> bersih ; <extra_id_1> ramah ; <extra_id_2> mantap,o
pelayanan oke .| aspek : <extra_id_0>,<extra_id_0> pelayanan,a
"not bad , ruangan bersih , ac dingin , tidak ada kendala .| opini : <extra_id_0>",<extra_id_0> bersih ; <extra_id_1> dingin ; <extra_id_2> not bad,o
"hotelnya sangat iconic , ada kolam renang juga . kamar luas dan lokasi sangat mudah ditemukan .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> hotelnya <extra_id_1> sangat iconic <extra_id_2> positive ; <extra_id_3> kolam renang <extra_id_4> ada <extra_id_5> positive ; <extra_id_6> kamar <extra_id_7> luas <extra_id_8> positive ; <extra_id_9> lokasi <extra_id_10> sangat mudah ditemukan <extra_id_11> positive,aos
"tempatnya nyaman dan aman , adem enak , pelayanan memuaskan , dekat kalau mau kemana mana .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> tempatnya <extra_id_1> nyaman <extra_id_2> positive ; <extra_id_3> tempatnya <extra_id_4> aman <extra_id_5> positive ; <extra_id_6> tempatnya <extra_id_7> adem <extra_id_8> positive ; <extra_id_9> tempatnya <extra_id_10> enak <extra_id_11> positive ; <extra_id_12> pelayanan <extra_id_13> memuaskan <extra_id_14> positive,aos
